"","RIVTYPE","DDef14","B14","C14","D14","E14","F14","A14","tot_leng14","B18","C18","A18","D18","F18","DDef18","E18","tot_leng18","B","C","A","D","F","DDef","E","tot_leng24","eoo_km2","prp18_cdef","prp18_def","prp18_ef","prp18_f","prp24_cdef","prp24_def","prp24_ef","prp24_f","pes_decline1418","pes_decline1824","D3_18","D3_24","B1_18","B1_24","RLE_18","RLE_24","A3sa_24","A3sa_18","zone"
"22","12_P_U",17702.7225547995,12686.9993878604,0,0,0,0,0,30389.7219426598,12686.9993878604,0,375.292066589799,8853.52468020698,655.212835168571,7818.6929728341,0,30389.7219426598,12686.9993878604,0,375.292066589799,8853.52468020698,655.212835168571,7818.6929728341,0,30389.7219426598,3032.63009580469,0.312893205581707,0.312893205581707,0.0215603432109331,0.0215603432109331,0.312893205581707,0.312893205581707,0.0215603432109331,0.0215603432109331,"decline1418","nodecline1824","LC","EN","EN","LC","EN","EN","LC","LC","Upper foothill"
"23","13_N_F",26177.3767308953,22722.8147240941,0,14774.0099208066,0,0,0,63674.2013757959,57819.2914208153,3315.63216607956,0,0,0,2539.277788901,0,63674.2013757959,43045.2815000088,3315.63216607956,0,14774.0099208066,0,2539.277788901,0,63674.2013757959,2887.12218579687,0.0520718296333421,0,0,0,0.284096882191324,0.232025052557982,0,0,"nodecline1418","decline1824","LC","LC","LC","EN","LC","EN","LC","LC","Lowland river"
"24","13_N_L",49487.8520809002,20815.1783454964,14675.2717709938,8366.96745746969,0,0,0,93345.2696548601,53466.2063120844,16468.6526246321,0,23410.4107181436,0,0,0,93345.2696548601,59747.6061561976,4199.91908454933,5987.33369596957,23410.4107181436,0,0,0,93345.2696548601,1424.17139040625,0.42722104173277,0.250793755320463,0,0,0.29578713420381,0.250793755320463,0,0,"decline1418","nodecline1824","LC","LC","CR","LC","CR","LC","LC","LC","Lower foothill"
"25","13_N_U",9347.04364004355,5208.72719216303,0,2054.9619044636,0,0,0,16610.7327366702,9912.2647803362,2401.02925921523,0,4297.43869711875,0,0,0,16610.7327366702,9912.2647803362,2401.02925921523,0,4297.43869711875,0,0,0,16610.7327366702,1719.76350653906,0.403261437199956,0.25871457721017,0,0,0.403261437199956,0.25871457721017,0,0,"decline1418","nodecline1824","LC","LC","CR","LC","CR","LC","LC","LC","Upper foothill"
"26","13_P_F",230598.226361604,24967.9416403841,149192.032464822,44723.1702392737,87070.8062216403,0,0,536552.176927725,19278.1339859799,159680.547470695,0,89337.4797363917,0,32708.1046975888,235547.911037069,536552.176927725,31467.4958938357,135255.568169688,0,120169.509919652,0,32708.1046975888,216951.49824696,536552.176927725,5506.47619197656,0.903110562366479,0.605505680050989,0.439002805627975,0,0.880392619113222,0.628309832040852,0.404343710781708,0,"decline1418","decline1824","VU","EN","EN","EN","EN","EN","CR","CR","Lowland river"
"27","13_P_L",24970.5298162194,9743.86638345724,104717.975957724,55789.4745813257,20518.2547429882,0,0,215740.101481715,9743.86638345724,114500.158778306,0,57975.4311065147,8140.1173263604,4941.04233107269,20439.4855560035,215740.101481715,9743.86638345724,111294.788815825,0,77533.7249530993,271.791248712336,4941.04233107269,11954.8877495484,215740.101481715,7175.03766011719,0.931932410276656,0.40120048796869,0.132472371552983,0.0377311277340357,0.931932410276656,0.416058040831912,0.056673186460409,0.001259808662579,"decline1418","decline1824","VU","EN","EN","EN","EN","EN","CR","CR","Lower foothill"
"28","13_P_M",844.753063378202,1659.97228076527,1817.86389662375,55.1805275889965,0,0,0,4377.76976835622,1659.97228076527,2662.61696000195,0,0,0,0,55.1805275889965,4377.76976835622,1659.97228076527,2662.61696000195,0,55.1805275889965,0,0,0,4377.76976835622,1687.40329795313,0.620817820808204,0.0126047121042905,0.0126047121042905,0,0.620817820808204,0.0126047121042905,0,0,"nodecline1418","nodecline1824","LC","LC","LC","LC","LC","LC","LC","LC","Mountain stream"
"29","13_P_U",5760.96726926652,19110.2596500942,49599.9483674013,9311.3427248685,7244.09524025174,0,0,91026.6132518822,18057.5815363361,53827.8684851493,0,9311.3427248685,1052.67811375814,1533.04715151845,7244.09524025174,91026.6132518822,19110.2596500942,45205.7616088179,0,25177.5448414517,0,1533.04715151845,0,91026.6132518822,4977.72086748438,0.784781307488121,0.193439209148147,0.09114667741237,0.0115645092808764,0.773216798207245,0.276595425689212,0,0,"decline1418","decline1824","LC","LC","EN","EN","EN","EN","EN","EN","Upper foothill"
"30","14_N_F",74.6697154557991,0,6215.29123416269,19592.099515294,0,0,0,25882.0604649125,0,821.076184360713,0,23952.1025549624,1108.8817255894,0,0,25882.0604649125,0,821.076184360713,0,25060.9842805518,0,0,0,25882.0604649125,703.17010482436,1,0.968276243482476,0.0428436417221372,0.0428436417221372,1,0.968276243482476,0,0,"decline1418","nodecline1824","EN","EN","CR","LC","CR","EN","CR","CR","Lowland river"
"31","14_N_L",3193.48551996915,46579.2981626277,220430.256430266,41562.9729832274,0,0,0,311766.013096091,45190.6653755337,214327.380453544,0,40204.7762436749,12043.1910233376,0,0,311766.013096091,43128.5990755653,226630.471983605,0,41562.9729832274,443.96905369307,0,0,311766.013096091,25543.1427825405,0.855049416943324,0.167587116851345,0.0386289413131948,0.0386289413131948,0.861663564134964,0.134738683090428,0.00142404571070495,0.00142404571070495,"decline1418","nodecline1824","LC","LC","VU","LC","VU","LC","CR","CR","Lower foothill"
"32","14_N_M",8136.54152377946,25735.7490937489,16586.2793887317,4040.82016147946,0,0,239.021975796778,54738.4121435363,22682.546835785,26195.5110584829,239.021975796778,5015.83096989034,605.501303581258,0,0,54738.4121435363,30747.5964082559,18466.6459179218,239.021975796778,5015.83096989034,269.316871671429,0,0,54738.4121435363,28929.0223976186,0.581252580884584,0.10269447090886,0.0110617257583852,0.0110617257583852,0.433914555234103,0.0965528161047663,0.00492007095429112,0.00492007095429112,"decline1418","nodecline1824","LC","LC","VU","LC","VU","LC","LC","LC","Mountain stream"
"33","14_N_U",6599.08607220227,162218.119788932,248184.56241159,22461.1741023136,0,0,19443.1923967207,458906.134771759,142039.331762537,260394.560471362,19443.1923967207,20732.8866298457,16296.1635112939,0,0,458906.134771759,186097.417609877,225522.331228412,19443.1923967207,23198.480705354,4644.71283139615,0,0,458906.134771759,29290.6077787693,0.648114261450063,0.0806898128732932,0.0355108861628073,0.0355108861628073,0.552107512991029,0.060672959952035,0.0101212698620955,0.0101212698620955,"decline1418","nodecline1824","LC","LC","VU","LC","VU","LC","LC","LC","Upper foothill"
"34","14_P_F",59096.8508621526,177534.251258545,214813.002431105,17631.7693022878,165.192002011469,0,3265.99487026096,472507.060726363,178591.401230322,228943.411174634,0,21746.2054541014,43226.0428673057,0,0,472507.060726363,125626.213571628,264094.255984444,0,55632.0383270511,26989.3608412279,0,165.192002011469,472507.060726363,33027.5057169325,0.62203442853154,0.137505349066167,0.0914823215569654,0.0914823215569654,0.7341283887303,0.175207098583938,0.0574690943273862,0.0571194868490185,"decline1418","decline1824","LC","LC","VU","VU","VU","VU","EN","LC","Lowland river"
"35","14_P_L",135055.183513073,723571.273759206,1094261.16942328,206868.225132392,65994.0322361433,0,73638.5765090663,2299388.46057316,804424.102635724,1045428.73097477,61247.0105249617,206404.719584388,112719.148695152,6825.70036710639,62339.0477910644,2299388.46057316,684442.711195181,1191671.01554621,54638.9772189709,277388.591487492,32834.0888340795,6825.70036710639,51587.3759241198,2299388.46057316,42614.8469937596,0.62055266933439,0.165897551723608,0.0761325019621002,0.0490213596475366,0.675606187657683,0.157350557528459,0.0367147466405724,0.0142794875233457,"decline1418","nodecline1824","LC","LC","VU","LC","VU","LC","EN","LC","Lower foothill"
"36","14_P_M",57641.5030145747,126214.874889646,110639.344660253,11758.2186514374,125.378987972467,0,2802.95794708434,309182.278150968,142345.724432177,139638.140473328,7726.43356196319,14843.6801122355,1761.97690366323,2247.61674588826,618.705921711993,309182.278150968,158401.266708125,130413.765357796,3411.78503072819,13311.4514987545,903.065875936599,2247.61674588826,493.326933739526,309182.278150968,40725.9388731037,0.507346360047021,0.0557094120679205,0.00769993299620095,0.00569882890507355,0.469372340918473,0.0475701401658248,0.00451640636723135,0.00292082030489357,"decline1418","nodecline1824","LC","LC","VU","LC","VU","LC","LC","LC","Mountain stream"
"37","14_P_U",97357.0268078932,1288368.12145935,1242715.78626884,198508.001899854,32695.866557417,0,68186.401791826,2927831.20478517,1354182.0884135,1251837.50486718,36449.6190151402,196562.01925575,48182.3060764953,9238.54783158846,31379.1193255271,2927831.20478517,1384309.84771218,1236167.67708906,65297.0765375563,202960.085045701,10503.6264637618,9238.54783158846,19354.3441053305,2927831.20478517,42835.8755684968,0.521874671950927,0.0943098919795935,0.0271741845199236,0.0164566543309421,0.501731701712508,0.0795189474155074,0.0101979822198401,0.00358751093525984,"decline1418","nodecline1824","LC","LC","VU","LC","VU","LC","LC","LC","Upper foothill"
"38","15_N_F",0,0,5740.39804225053,0,0,0,0,5740.39804225053,0,5740.39804225053,0,0,0,0,0,5740.39804225053,0,5740.39804225053,0,0,0,0,0,5740.39804225053,1.47497035798767,1,0,0,0,1,0,0,0,"nodecline1418","nodecline1824","VU","VU","LC","LC","VU","VU","CR","CR","Lowland river"
"39","15_N_L",2291.334218328,74435.1412455642,301184.196687619,95345.5071031705,0,0,0,473256.179254681,58703.4048617801,304353.294122105,0,81047.6926877133,29151.7875830827,0,0,473256.179254681,52612.6581033575,214303.63629872,0,199446.390199266,697.193616434942,0,6196.30103690346,473256.179254681,57803.7682659238,0.875958503163698,0.232853758918365,0.0615983242500776,0.0615983242500776,0.888828375814943,0.436000402947856,0.0145660953950877,0.00147318439144933,"decline1418","decline1824","LC","EN","LC","LC","LC","EN","CR","CR","Lower foothill"
"40","15_N_M",24001.6013259302,58886.5911092325,42023.3989647119,4709.08033965833,0,0,17106.7705817238,146727.442321257,70168.0213629641,51432.8829854388,18170.962596332,6744.21426101974,211.361115502223,0,0,146727.442321257,54029.7385870987,55441.3249585586,18170.962596332,18976.3500649982,109.066114269358,0,0,146727.442321257,50340.8799460885,0.397938227766013,0.0474047340189634,0.00144050160050805,0.00144050160050805,0.507926397126526,0.13007393761748,0.000743324578851171,0.000743324578851171,"decline1418","decline1824","LC","LC","LC","LC","LC","LC","LC","LC","Mountain stream"
"41","15_N_U",23793.5807446711,216391.528057739,530573.162578132,111587.602593975,0,0,414.537112952846,882760.41108747,215525.396133222,518339.531530256,0,110169.168229753,31241.7318372245,7484.58335701457,0,882760.41108747,140396.667493406,471244.791824776,0,257145.769319108,6488.59909316553,7484.58335701457,0,882760.41108747,57914.6273519236,0.747372019985003,0.160191710333695,0.0353909525674559,0.0353909525674559,0.832478610285382,0.298647702254231,0.00735035125235425,0.00735035125235425,"decline1418","decline1824","LC","LC","LC","LC","LC","LC","CR","EN","Upper foothill"
"42","15_P_F",67059.2530107675,152286.330862343,305298.39382167,75972.6109339285,0,0,0,600616.588628708,137988.390562358,342600.708242377,0,89589.2386278325,28690.7184376061,1747.53275853436,0,600616.588628708,68639.1368748722,222670.588292905,0,283102.048204535,2233.77068164661,1747.53275853436,22223.5118162156,600616.588628708,37230.1896417973,0.767345880938904,0.19693088620061,0.0477687745906436,0.0477687745906436,0.882809314684249,0.51207265421123,0.0407202913820638,0.00371912918147435,"decline1418","decline1824","LC","EN","VU","VU","VU","EN","CR","EN","Lowland river"
"43","15_P_L",20673.8379955542,912849.795590386,996079.806683896,172476.869513723,52112.236553891,0,34514.130629962,2188706.67696741,827630.534498003,1083629.63339591,9242.82542676595,133275.768234079,93710.5013342753,109.688233349555,41107.7258450307,2188706.67696741,484588.549667292,1107975.19208989,6816.78288011534,516500.905688695,9102.47149726936,72.9194775064486,63649.855666639,2188706.67696741,99134.1414926579,0.617590124356997,0.122489686824936,0.0615972110827134,0.0428154682947817,0.775448095810679,0.269224395874302,0.0332398708011031,0.00415883571474338,"decline1418","decline1824","LC","LC","LC","LC","LC","LC","EN","LC","Lower foothill"
"44","15_P_M",122822.081462168,279832.868263235,88810.067193451,19390.3682705512,1664.84510630214,0,141228.325864691,653748.5561604,328312.820884838,163338.196255522,135392.338047493,23333.3890594606,778.728281418236,128.080129135921,2465.00350253073,653748.5561604,297793.354136941,197452.136725528,117313.797106235,38363.7670213803,232.417538648101,128.080129135921,2465.00350253073,653748.5561604,85223.7691560652,0.290502082657503,0.0406534295073668,0.00496174217653355,0.00119117399813755,0.364839543491958,0.0628088393857723,0.0041260833630308,0.000355515184634804,"nodecline1418","decline1824","LC","LC","LC","LC","LC","LC","LC","LC","Mountain stream"
"45","15_P_U",44733.6967305389,1139615.35160968,759086.346397958,105909.330548302,20159.9046707036,0,240942.941090901,2310447.57104808,1113065.94996996,884723.265525384,162661.72672003,99181.810327267,28046.0314673458,5480.24105208213,17288.5459860092,2310447.57104808,921414.196856363,1044220.67350364,119813.359203207,198093.967971668,3867.2531062483,5472.00906416912,17566.1113427883,2310447.57104808,92815.6616092762,0.445471979629953,0.0625490877142326,0.0196215564557433,0.0121387872284084,0.546971081170681,0.0950150677174297,0.00927671535057333,0.00167381123670944,"nodecline1418","decline1824","LC","LC","LC","LC","LC","LC","LC","LC","Upper foothill"
"46","16_N_L",1621.40820534409,23392.2292591212,15059.0551157342,0,0,0,0,40072.6925801995,20589.3424884905,17198.1509161518,0,0,2285.19917555721,0,0,40072.6925801995,20589.3424884905,18042.7300938653,0,0,1440.61999784375,0,0,40072.6925801995,5179.83549476559,0.486200173664796,0.0570263445857481,0.0570263445857481,0.0570263445857481,0.486200173664796,0.0359501671858103,0.0359501671858103,0.0359501671858103,"decline1418","nodecline1824","LC","LC","EN","LC","EN","LC","LC","LC","Lower foothill"
"47","16_N_M",14296.2751534057,18219.9684530292,19873.2174911002,0,0,0,4017.21448427479,56406.67558181,25240.4186720554,27040.7603616904,3258.09902730001,0,456.766472182977,410.631048581244,0,56406.67558181,16362.1521646808,35525.0350849507,3258.09902730001,494.12375502756,356.634501269682,410.631048581244,0,56406.67558181,40357.001933305,0.487487102373052,0.00809773785587668,0.00809773785587668,0.00809773785587668,0.644884545420337,0.0150825810513037,0.00632255841336427,0.00632255841336427,"nodecline1418","nodecline1824","LC","LC","LC","LC","LC","LC","LC","LC","Mountain stream"
"48","16_N_U",7990.62465530864,97023.4756424902,98667.0907426172,0,0,0,1943.6897147261,205624.880755142,98705.4711850456,102817.611708958,763.574125430624,0,3338.22373570765,0,0,205624.880755142,56023.6095404723,141363.67737851,1309.02966191544,6031.0202176714,897.543956572575,0,0,205624.880755142,42697.0366596762,0.51625968148804,0.0162345321414815,0.0162345321414815,0.0162345321414815,0.72117849264234,0.0336951644606399,0.0043649579432042,0.0043649579432042,"decline1418","decline1824","LC","LC","VU","VU","VU","VU","EN","LC","Upper foothill"
"49","16_P_F",26040.135318865,186197.853722717,119785.887880148,50884.7371017885,34134.002646092,0,0,417042.61666961,29071.2073923175,269289.990718946,0,10678.5135934125,92222.3886698165,0,15780.5162951175,417042.61666961,25768.3347210218,228942.121163711,0,122238.432728067,19860.6594388176,0,20233.0686179932,417042.61666961,29894.3225305414,0.930291998394619,0.284578634927299,0.258973305479944,0.221134207832954,0.938211746974924,0.389245977020811,0.0961382037571806,0.0476226137209177,"decline1418","decline1824","VU","EN","VU","VU","VU","EN","CR","CR","Lowland river"
"50","16_P_L",142589.396715901,1211896.85978934,2023866.86558839,619875.436592569,36325.4008180611,0,41223.5637381362,4075777.5232424,609352.901029933,2512429.23339391,25228.1930247202,755318.600746043,142637.360614106,0,30811.2344336837,4075777.5232424,447752.044481353,2739329.62744938,9260.10595727658,779765.83634962,30052.7146058053,0,69617.194398964,4075777.5232424,72863.5088754586,0.844304285394404,0.227874850994068,0.0425559525903187,0.0349963558611105,0.887871173577928,0.215771282985724,0.0244542074331572,0.00737349240345619,"decline1418","nodecline1824","LC","LC","LC","LC","LC","LC","CR","CR","Lower foothill"
