"","RIVTYPE","eoo_km2"
"8_N_U","8_N_U",40286.7090508539
"9_N_U","9_N_U",34319.7404274664
"7_P_F","7_P_F",14351.8102480037
"9_N_M","9_N_M",30746.3591964339
"8_N_L","8_N_L",35636.0359596805
"8_P_L","8_P_L",44528.0385473063
"9_N_L","9_N_L",4475.21787720363
"8_P_F","8_P_F",28481.4993175886
"9_N_F","9_N_F",1754.29266735365
"7_N_F","7_N_F",1755.72838907108
"10_N_L","10_N_L",7.3922835234375
"8_N_F","8_N_F",265.3712602497
"1_N_U","1_N_U",43083.534376007
"1_N_L","1_N_L",40878.7389110036
"1_P_L","1_P_L",56125.4841374132
"1_P_U","1_P_U",21140.0879876984
"1_P_M","1_P_M",3.54828479052243
"1_N_M","1_N_M",8391.24086254017
"6_P_M","6_P_M",2630.10948993541
"6_P_U","6_P_U",6188.47575769918
"1_P_F","1_P_F",57815.9690066579
"6_N_M","6_N_M",3779.27077265225
"6_N_U","6_N_U",5928.51788741399
"9_P_F","9_P_F",31.9437378676481
"6_P_L","6_P_L",5085.75688231909
"5_N_U","5_N_U",7128.37706785549
"6_N_L","6_N_L",2392.69467965024
"5_P_M","5_P_M",195.855002150298
"5_P_U","5_P_U",4203.57741462958
"5_N_M","5_N_M",5080.59796487112
"5_P_L","5_P_L",2271.22036161167
"6_P_F","6_P_F",103.579263724278
"5_N_L","5_N_L",3576.19608453476
"1_N_F","1_N_F",3754.967674795
"2_P_L","2_P_L",6331.39357366038
"2_P_U","2_P_U",5094.18700933366
"2_N_M","2_N_M",2460.11375307708
"2_P_M","2_P_M",864.845651492767
"2_N_U","2_N_U",5124.17793547916
"2_N_L","2_N_L",3799.06392098252
"2_P_F","2_P_F",17.51797465625
"2_N_F","2_N_F",2.17130502080083
