"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"37","14_P_U","Upper foothill",2927831.20478517,"LC","PP","LC_PP","riv"
"38","15_N_F","Lowland river",5740.39804225053,"VU","NP","VU_NP","riv"
"39","15_N_L","Lower foothill",473256.179254681,"VU","NP","VU_NP","riv"
"40","15_N_M","Mountain stream",146727.442321257,"LC","MP","LC_MP","riv"
"41","15_N_U","Upper foothill",882760.41108747,"VU","PP","VU_PP","riv"
"42","15_P_F","Lowland river",600616.588628708,"VU","PP","VU_PP","riv"
"43","15_P_L","Lower foothill",2188706.67696741,"LC","PP","LC_PP","riv"
"44","15_P_M","Mountain stream",653748.5561604,"LC","WP","LC_WP","riv"
"45","15_P_U","Upper foothill",2310447.57104808,"LC","PP","LC_PP","riv"
"46","16_N_L","Lower foothill",40072.6925801995,"LC","NP","LC_NP","riv"
"47","16_N_M","Mountain stream",56406.67558181,"VU","NP","VU_NP","riv"
"48","16_N_U","Upper foothill",205624.880755142,"VU","NP","VU_NP","riv"
"49","16_P_F","Lowland river",417042.61666961,"VU","NP","VU_NP","riv"
"50","16_P_L","Lower foothill",4075777.5232424,"VU","NP","VU_NP","riv"
"51","16_P_M","Mountain stream",732780.409567114,"LC","PP","LC_PP","riv"
"52","16_P_U","Upper foothill",6628821.18171514,"LC","NP","LC_NP","riv"
"53","17_N_M","Mountain stream",1950.64528383367,"CR","NP","CR_NP","riv"
"54","17_N_U","Upper foothill",2095.6438150844,"VU","NP","VU_NP","riv"
"55","17_P_F","Lowland river",36610.4041393743,"VU","PP","VU_PP","riv"
"56","17_P_L","Lower foothill",1461003.31661882,"LC","PP","LC_PP","riv"
"57","17_P_M","Mountain stream",111164.858167816,"LC","NP","LC_NP","riv"
"58","17_P_U","Upper foothill",1994900.81687793,"LC","PP","LC_PP","riv"
"59","18_N_F","Lowland river",8077.42471529578,"VU","NP","VU_NP","riv"
"60","18_N_L","Lower foothill",1633782.45699906,"VU","PP","VU_PP","riv"
"61","18_N_M","Mountain stream",624191.606392944,"LC","PP","LC_PP","riv"
"62","18_N_U","Upper foothill",5850307.69968309,"LC","PP","LC_PP","riv"
"63","18_P_F","Lowland river",15011.8238872434,"VU","NP","VU_NP","riv"
"64","18_P_L","Lower foothill",2419014.43761511,"VU","PP","VU_PP","riv"
"65","18_P_M","Mountain stream",85594.8370083992,"VU","NP","VU_NP","riv"
"66","18_P_U","Upper foothill",1195913.30033669,"VU","NP","VU_NP","riv"
"67","19_N_F","Lowland river",8379.07462880418,"VU","MP","VU_MP","riv"
"68","19_N_L","Lower foothill",791929.90938896,"LC","PP","LC_PP","riv"
"69","19_N_M","Mountain stream",460379.690577997,"LC","WP","LC_WP","riv"
"70","19_N_U","Upper foothill",3522215.43846789,"LC","PP","LC_PP","riv"
"71","19_P_F","Lowland river",153588.193194327,"VU","NP","VU_NP","riv"
"72","19_P_L","Lower foothill",1954122.26833324,"VU","PP","VU_PP","riv"
"73","19_P_M","Mountain stream",383360.560550665,"LC","MP","LC_MP","riv"
"74","19_P_U","Upper foothill",2112260.05162648,"LC","PP","LC_PP","riv"
"75","1_N_F","Lowland river",45314.3492655055,"EN","MP","EN_MP","riv"
"76","1_N_L","Lower foothill",694177.473988492,"LC","MP","LC_MP","riv"
"77","1_N_M","Mountain stream",6968.0500499585,"VU","MP","VU_MP","riv"
"78","1_N_U","Upper foothill",707736.494475549,"VU","PP","VU_PP","riv"
"79","1_P_F","Lowland river",1478474.55647813,"VU","PP","VU_PP","riv"
"80","1_P_L","Lower foothill",1004474.5382804,"LC","PP","LC_PP","riv"
"81","1_P_M","Mountain stream",4778.9301126457,"LC","WP","LC_WP","riv"
"82","1_P_U","Upper foothill",60293.7280840812,"VU","MP","VU_MP","riv"
"83","20_N_F","Lowland river",37107.5659989359,"VU","MP","VU_MP","riv"
"84","20_N_L","Lower foothill",310333.681170983,"VU","PP","VU_PP","riv"
"85","20_N_M","Mountain stream",32535.5626721596,"EN","MP","EN_MP","riv"
"86","20_N_U","Upper foothill",610437.17720854,"VU","PP","VU_PP","riv"
"87","20_P_F","Lowland river",301062.221272897,"EN","MP","EN_MP","riv"
"88","20_P_L","Lower foothill",565278.495686836,"EN","PP","EN_PP","riv"
"89","20_P_M","Mountain stream",129732.187540563,"EN","WP","EN_WP","riv"
"90","20_P_U","Upper foothill",875134.261467306,"EN","MP","EN_MP","riv"
"91","21_N_F","Lowland river",23347.0514446664,"VU","NP","VU_NP","riv"
"92","21_N_L","Lower foothill",3397027.88123237,"LC","PP","LC_PP","riv"
"93","21_N_M","Mountain stream",479169.708985965,"LC","PP","LC_PP","riv"
"94","21_N_U","Upper foothill",7216204.39002568,"LC","PP","LC_PP","riv"
"95","21_P_F","Lowland river",2804.51661193631,"CR","NP","CR_NP","riv"
"96","21_P_L","Lower foothill",599502.951979188,"LC","PP","LC_PP","riv"
"97","21_P_M","Mountain stream",4435.52982995588,"LC","PP","LC_PP","riv"
"98","21_P_U","Upper foothill",115019.248421261,"LC","NP","LC_NP","riv"
"99","22_N_L","Lower foothill",321393.814302824,"EN","NP","EN_NP","riv"
"100","22_N_M","Mountain stream",40951.0961537509,"VU","PP","VU_PP","riv"
"101","22_N_U","Upper foothill",471956.737718359,"VU","NP","VU_NP","riv"
"102","22_P_F","Lowland river",368011.82223739,"VU","PP","VU_PP","riv"
"103","22_P_L","Lower foothill",982205.51757877,"VU","PP","VU_PP","riv"
"104","22_P_M","Mountain stream",143028.697180264,"EN","MP","EN_MP","riv"
"105","22_P_U","Upper foothill",634133.222731253,"EN","PP","EN_PP","riv"
"106","23_N_F","Lowland river",2247.16526010169,"CR","PP","CR_PP","riv"
"107","23_N_L","Lower foothill",69237.6489363091,"EN","NP","EN_NP","riv"
"108","23_N_M","Mountain stream",121106.727159035,"EN","WP","EN_WP","riv"
"109","23_N_U","Upper foothill",409379.101988443,"EN","PP","EN_PP","riv"
"110","23_P_F","Lowland river",114283.761802501,"EN","NP","EN_NP","riv"
"111","23_P_L","Lower foothill",647463.891095327,"LC","PP","LC_PP","riv"
"112","23_P_M","Mountain stream",334547.942247815,"EN","MP","EN_MP","riv"
"113","23_P_U","Upper foothill",1119350.87078135,"EN","MP","EN_MP","riv"
"114","24_N_F","Lowland river",47252.9674656556,"EN","NP","EN_NP","riv"
"115","24_N_L","Lower foothill",445762.118199506,"EN","PP","EN_PP","riv"
"116","24_N_M","Mountain stream",80314.6149557962,"VU","PP","VU_PP","riv"
"117","24_N_U","Upper foothill",429145.990998568,"EN","NP","EN_NP","riv"
"118","24_P_F","Lowland river",318181.461051723,"VU","PP","VU_PP","riv"
"119","24_P_L","Lower foothill",558368.061846397,"EN","PP","EN_PP","riv"
"120","24_P_M","Mountain stream",78796.0997761272,"EN","MP","EN_MP","riv"
"121","24_P_U","Upper foothill",399693.706165979,"EN","PP","EN_PP","riv"
"122","25_N_F","Lowland river",24080.4290621342,"CR","MP","CR_MP","riv"
"123","25_N_L","Lower foothill",877247.797191655,"LC","MP","LC_MP","riv"
"124","25_N_M","Mountain stream",50628.4512629629,"LC","PP","LC_PP","riv"
"125","25_N_U","Upper foothill",1081703.87133429,"VU","PP","VU_PP","riv"
"126","25_P_F","Lowland river",237488.445677664,"VU","NP","VU_NP","riv"
"127","25_P_L","Lower foothill",192897.690520194,"LC","PP","LC_PP","riv"
"128","26_N_F","Lowland river",869895.079598495,"LC","PP","LC_PP","riv"
"129","26_N_L","Lower foothill",11599133.4528958,"LC","NP","LC_NP","riv"
"130","26_N_M","Mountain stream",173056.85029569,"LC","PP","LC_PP","riv"
"131","26_N_U","Upper foothill",9146133.04316664,"LC","PP","LC_PP","riv"
"132","26_P_F","Lowland river",3206359.02265253,"VU","PP","VU_PP","riv"
"133","26_P_L","Lower foothill",2305603.59146371,"LC","NP","LC_NP","riv"
"134","26_P_M","Mountain stream",4257.1826443,"EN","MP","EN_MP","riv"
"135","26_P_U","Upper foothill",237470.081996084,"VU","NP","VU_NP","riv"
"136","27_N_F","Lowland river",5353.95765777203,"LC","NP","LC_NP","riv"
"137","27_N_L","Lower foothill",870951.715431405,"VU","PP","VU_PP","riv"
"138","27_N_M","Mountain stream",211672.424596578,"EN","MP","EN_MP","riv"
"139","27_N_U","Upper foothill",2133167.27360999,"VU","PP","VU_PP","riv"
"140","28_N_L","Lower foothill",159372.010129881,"LC","PP","LC_PP","riv"
"141","28_N_M","Mountain stream",64898.782534148,"VU","WP","VU_WP","riv"
"142","28_N_U","Upper foothill",946795.659824584,"VU","MP","VU_MP","riv"
"143","28_P_F","Lowland river",784678.558700798,"VU","PP","VU_PP","riv"
"144","28_P_L","Lower foothill",158257.970206326,"VU","PP","VU_PP","riv"
"145","28_P_U","Upper foothill",15878.5866131161,"VU","MP","VU_MP","riv"
"146","29_N_F","Lowland river",3191761.21040636,"LC","PP","LC_PP","riv"
"147","29_N_L","Lower foothill",3361978.42904664,"VU","NP","VU_NP","riv"
"148","29_N_M","Mountain stream",11273.591651484,"VU","NP","VU_NP","riv"
"149","29_N_U","Upper foothill",1352032.61500122,"LC","NP","LC_NP","riv"
"150","29_P_F","Lowland river",1043967.77291155,"VU","NP","VU_NP","riv"
"151","29_P_L","Lower foothill",330557.259723932,"VU","NP","VU_NP","riv"
"152","29_P_U","Upper foothill",31860.3237654752,"EN","NP","EN_NP","riv"
"153","2_N_F","Lowland river",5395.68780990724,"VU","PP","VU_PP","riv"
"154","2_N_L","Lower foothill",84451.6502543459,"LC","MP","LC_MP","riv"
"155","2_N_M","Mountain stream",43226.564445634,"LC","PP","LC_PP","riv"
"156","2_N_U","Upper foothill",197960.565578426,"VU","PP","VU_PP","riv"
"157","2_P_F","Lowland river",17424.5815589849,"VU","MP","VU_MP","riv"
"158","2_P_L","Lower foothill",360712.91134815,"EN","MP","EN_MP","riv"
"159","2_P_M","Mountain stream",12072.0462461128,"VU","PP","VU_PP","riv"
"160","2_P_U","Upper foothill",123258.548301563,"VU","PP","VU_PP","riv"
"161","30_N_F","Lowland river",40582.8005895432,"EN","NP","EN_NP","riv"
"162","30_N_L","Lower foothill",1002393.18256512,"LC","NP","LC_NP","riv"
"163","30_N_M","Mountain stream",4826.033627847,"LC","PP","LC_PP","riv"
"164","30_N_U","Upper foothill",670554.257352797,"LC","NP","LC_NP","riv"
"165","31_N_M","Mountain stream",3422.74756532744,"LC","NP","LC_NP","riv"
"166","31_N_U","Upper foothill",38199.8891755917,"LC","NP","LC_NP","riv"
"167","31_P_F","Lowland river",132813.30282139,"EN","NP","EN_NP","riv"
"168","31_P_L","Lower foothill",1695599.943814,"LC","PP","LC_PP","riv"
"169","31_P_M","Mountain stream",56075.5865055841,"LC","NP","LC_NP","riv"
"170","31_P_U","Upper foothill",1884051.06934203,"VU","NP","VU_NP","riv"
"171","3_N_F","Lowland river",38009.8743979168,"LC","WP","LC_WP","riv"
"172","3_N_L","Lower foothill",1773870.76715417,"LC","WP","LC_WP","riv"
"173","3_N_M","Mountain stream",92412.2508840354,"LC","MP","LC_MP","riv"
"174","3_N_U","Upper foothill",1300906.28764871,"LC","WP","LC_WP","riv"
"175","3_P_F","Lowland river",470054.074319239,"LC","MP","LC_MP","riv"
"176","3_P_L","Lower foothill",3665915.9988949,"LC","MP","LC_MP","riv"
"177","3_P_M","Mountain stream",78542.6119653127,"LC","MP","LC_MP","riv"
"178","3_P_U","Upper foothill",1150355.93702017,"LC","PP","LC_PP","riv"
"179","4_N_L","Lower foothill",71160.3229953455,"VU","NP","VU_NP","riv"
"180","4_N_M","Mountain stream",35372.6192625527,"VU","PP","VU_PP","riv"
"181","4_N_U","Upper foothill",197382.639881359,"VU","NP","VU_NP","riv"
"182","4_P_F","Lowland river",54667.2462633978,"VU","NP","VU_NP","riv"
"183","4_P_L","Lower foothill",360937.244052264,"VU","PP","VU_PP","riv"
"184","4_P_M","Mountain stream",86575.2705248815,"VU","PP","VU_PP","riv"
"185","4_P_U","Upper foothill",872090.519175196,"LC","PP","LC_PP","riv"
"186","5_N_L","Lower foothill",138069.451922758,"LC","NP","LC_NP","riv"
"187","5_N_M","Mountain stream",9788.16941276801,"VU","NP","VU_NP","riv"
"188","5_N_U","Upper foothill",285598.137990116,"EN","PP","EN_PP","riv"
"189","5_P_L","Lower foothill",163856.23013326,"EN","NP","EN_NP","riv"
"190","5_P_M","Mountain stream",3396.79188695271,"EN","NP","EN_NP","riv"
"191","5_P_U","Upper foothill",159288.436373699,"EN","NP","EN_NP","riv"
"192","6_N_L","Lower foothill",59802.119040535,"VU","PP","VU_PP","riv"
"193","6_N_M","Mountain stream",15520.1174121017,"EN","MP","EN_MP","riv"
"194","6_N_U","Upper foothill",269448.619880507,"EN","PP","EN_PP","riv"
"195","6_P_F","Lowland river",37106.8147834196,"VU","MP","VU_MP","riv"
"196","6_P_L","Lower foothill",264570.824136285,"EN","MP","EN_MP","riv"
"197","6_P_M","Mountain stream",26350.5078679653,"VU","PP","VU_PP","riv"
"198","6_P_U","Upper foothill",520346.391410014,"LC","PP","LC_PP","riv"
"199","7_N_F","Lowland river",34474.9135126089,"LC","NP","LC_NP","riv"
"200","7_N_L","Lower foothill",215348.449177988,"VU","PP","VU_PP","riv"
"201","7_N_M","Mountain stream",45447.5643578212,"VU","MP","VU_MP","riv"
"202","7_N_U","Upper foothill",614736.82483938,"VU","PP","VU_PP","riv"
"203","7_P_F","Lowland river",134425.904862685,"EN","MP","EN_MP","riv"
"204","7_P_L","Lower foothill",774150.959766759,"VU","PP","VU_PP","riv"
"205","7_P_M","Mountain stream",26472.5826703895,"VU","PP","VU_PP","riv"
"206","7_P_U","Upper foothill",813068.626513524,"VU","PP","VU_PP","riv"
"207","8_N_F","Lowland river",7030.05433161144,"VU","NP","VU_NP","riv"
"208","8_N_L","Lower foothill",1080894.89265859,"VU","NP","VU_NP","riv"
"209","8_N_M","Mountain stream",31758.0665302363,"VU","PP","VU_PP","riv"
"210","8_N_U","Upper foothill",771133.805025082,"VU","PP","VU_PP","riv"
"211","8_P_F","Lowland river",621881.960902548,"VU","PP","VU_PP","riv"
"212","8_P_L","Lower foothill",1402507.20370729,"VU","PP","VU_PP","riv"
"213","8_P_M","Mountain stream",25379.084950378,"VU","PP","VU_PP","riv"
"214","8_P_U","Upper foothill",778218.592390381,"VU","NP","VU_NP","riv"
"215","9_N_F","Lowland river",8109.32960668953,"CR","NP","CR_NP","riv"
"216","9_N_L","Lower foothill",18703.2186247549,"EN","PP","EN_PP","riv"
"217","9_N_M","Mountain stream",123859.34938626,"LC","PP","LC_PP","riv"
"218","9_N_U","Upper foothill",717562.662369086,"VU","PP","VU_PP","riv"
"219","9_P_F","Lowland river",18724.7800546778,"EN","NP","EN_NP","riv"
"220","9_P_L","Lower foothill",676233.151305552,"LC","PP","LC_PP","riv"
"221","9_P_M","Mountain stream",130194.71123596,"LC","PP","LC_PP","riv"
"222","9_P_U","Upper foothill",1521492.98000555,"VU","PP","VU_PP","riv"
