"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"41","15_N_U",140396.667493406,471244.791824776,0,257145.769319108,6488.59909316553,7484.58335701457,0,882760.41108747,0.00847861238792339,0.159042777326695
"42","15_P_F",68639.1368748722,222670.588292905,0,283102.048204535,2233.77068164661,1747.53275853436,22223.5118162156,600616.588628708,0.00290956459015596,0.114281120725595
"43","15_P_L",484588.549667292,1107975.19208989,6816.78288011534,516500.905688695,9102.47149726936,72.9194775064486,63649.855666639,2188706.67696741,0.000033316240259057,0.224518587949062
"44","15_P_M",297793.354136941,197452.136725528,117313.797106235,38363.7670213803,232.417538648101,128.080129135921,2465.00350253073,653748.5561604,0.000195916500203323,0.634964540007839
"45","15_P_U",921414.196856363,1044220.67350364,119813.359203207,198093.967971668,3867.2531062483,5472.00906416912,17566.1113427883,2310447.57104808,0.00236837621105891,0.45066054261826
"46","16_N_L",20589.3424884905,18042.7300938653,0,0,1440.61999784375,0,0,40072.6925801995,0,0.513799826335204
"47","16_N_M",16362.1521646808,35525.0350849507,3258.09902730001,494.12375502756,356.634501269682,410.631048581244,0,56406.67558181,0.00727983069992631,0.347835623879737
"48","16_N_U",56023.6095404723,141363.67737851,1309.02966191544,6031.0202176714,897.543956572575,0,0,205624.880755142,0,0.27882150735766
"49","16_P_F",25768.3347210218,228942.121163711,0,122238.432728067,19860.6594388176,0,20233.0686179932,417042.61666961,0,0.0617882530250762
"50","16_P_L",447752.044481353,2739329.62744938,9260.10595727658,779765.83634962,30052.7146058053,0,69617.194398964,4075777.5232424,0,0.112128826422072
"51","16_P_M",175732.189413635,451986.159912447,11006.3750266913,87891.8440183802,1673.80045838425,0,4490.04073757605,732780.409567114,0,0.254835639711822
"52","16_P_U",1442004.96323509,4154970.90819352,69522.4580389317,916933.598372737,17212.0731595341,0,28177.1807153365,6628821.18171514,0,0.22802356253679
"53","17_N_M",0,1880.30848247763,0,70.3368013560469,0,0,0,1950.64528383367,0,0
"54","17_N_U",0,2095.6438150844,0,0,0,0,0,2095.6438150844,0,0
"55","17_P_F",11506.0305708027,2258.09373903758,0,21429.4809312196,0,70.5356266757283,1346.26327163881,36610.4041393743,0.00192665523186256,0.314283079940873
"56","17_P_L",346611.596277728,870534.101078522,40580.7938756269,160799.687477954,4220.69132346896,1254.0154514878,37002.4311340365,1461003.31661882,0.000858324849248082,0.265018145920043
"57","17_P_M",29478.362437177,65725.8595492622,994.156654272772,11924.6931633458,36.3866647459392,0,3005.39969901208,111164.858167816,0,0.27412007349884
"58","17_P_U",656502.21036834,986136.907565998,21615.2974525631,265417.575476826,5666.30735105957,0,59562.5186631433,1994900.81687793,0,0.339925424905171
"59","18_N_F",878.864898809237,2431.42304626838,0,4767.13677021816,0,0,0,8077.42471529578,0,0.10880508699078
"60","18_N_L",286831.876063727,884205.490442274,0,297393.250648029,19246.3527613558,71899.5205854161,74205.9664982546,1633782.45699906,0.0440080135989963,0.175563077467842
"61","18_N_M",238275.994377358,304882.786810462,1226.84702922708,70103.9803737144,3687.24952200134,3392.93833152431,2621.80994865616,624191.606392944,0.00543573206812456,0.383700836335522
"62","18_N_U",1798842.03973985,3141120.68049025,2384.76672572073,742159.095204091,70523.3217535307,34786.9555670961,60490.8402025487,5850307.69968309,0.00594617537278945,0.307885823947884
"63","18_P_F",0,15011.8238872434,0,0,0,0,0,15011.8238872434,0,0
"64","18_P_L",341509.257476446,1144523.9425997,0,749868.592346933,16277.3814753736,0,166835.263716653,2419014.43761511,0,0.141177023239737
"65","18_P_M",20447.1070993259,39028.7240925747,2130.05381345956,23460.2505443008,528.701458738198,0,0,85594.8370083992,0,0.263767789061507
"66","18_P_U",262844.566846289,586297.509977979,11143.3312818674,329633.608819949,2954.12770039394,0,3040.15571020637,1195913.30033669,0,0.229103479366791
"67","19_N_F",506.194943243329,6221.27508640405,0,1651.6045991568,0,0,0,8379.07462880418,0,0.0604117955344635
"68","19_N_L",204262.705282049,336723.937090133,4631.30003080919,209906.710239105,5818.86514994002,0,30586.3915969234,791929.90938896,0,0.263778401139108
"69","19_N_M",169164.434942149,125314.168270712,102850.757848133,49986.8798549967,757.562993054487,0,12305.8866689525,460379.690577997,0,0.590849679856147
"70","19_N_U",1111205.30890754,1335352.03228862,382653.129334547,624738.858174282,21067.312440108,0,47198.7973227926,3522215.43846789,0,0.424124663678123
"71","19_P_F",2292.74426753818,63128.3038948065,0,84419.1975453027,2244.33019651574,0,1503.61729016352,153588.193194327,0,0.0149278679555615
"72","19_P_L",323242.796878453,620209.179331179,18068.0573309654,726221.02564319,21916.1269664059,0,244465.082183047,1954122.26833324,0,0.174661974708746
"73","19_P_M",85984.5207079025,127266.004681794,16979.4804168523,111584.684411407,648.122631715071,2289.25886272965,38608.4888382651,383360.560550665,0.00597155549710518,0.268582665303013
"74","19_P_U",396316.432561331,664181.341854926,46504.7722372253,775047.08355244,15627.9464190232,7293.57720510554,207288.897796429,2112260.05162648,0.00345297313154663,0.209643317572368
"75","1_N_F",15341.4562442385,23478.5326341103,0,6088.0902696637,406.270117493012,0,0,45314.3492655055,0,0.338556251891646
"76","1_N_L",164647.920928421,491109.953383218,0,33515.6711533658,4903.92852348795,0,0,694177.473988492,0,0.237184188623139
"77","1_N_M",478.985912298383,5831.1865180276,0,657.877619632513,0,0,0,6968.0500499585,0,0.0687403088187113
"78","1_N_U",411813.599103425,210894.779445544,20624.6846209741,58206.2965756878,6197.13472991771,0,0,707736.494475549,0,0.611015946047614
"79","1_P_F",216080.819420775,833241.277229723,0,428262.15665575,890.303171884812,0,0,1478474.55647813,0,0.146151192439524
"80","1_P_L",294789.41607611,528331.885111255,1983.70001136477,175267.711041505,4101.82604016935,0,0,1004474.5382804,0,0.295451108791201
"81","1_P_M",4696.6092986531,0,0,0,82.3208139926052,0,0,4778.9301126457,0,0.982774216811672
"82","1_P_U",22152.0369581641,11356.8350447243,0,26784.8560811928,0,0,0,60293.7280840812,0,0.367402011155663
"83","20_N_F",0,26265.3649019917,0,10842.2010969442,0,0,0,37107.5659989359,0,0
"84","20_N_L",27767.9598116268,118184.498853128,0,151450.449443367,527.360386023002,0,12403.412676838,310333.681170983,0,0.0894777508739942
"85","20_N_M",8483.5124887087,13363.367802654,0,8526.26662218837,191.842260661295,913.248756038003,1057.3247419092,32535.5626721596,0.0280692473414472,0.260745836000801
"86","20_N_U",94455.054643565,312101.292475745,0,182504.850231618,2502.11667611426,0,18873.8631814977,610437.17720854,0,0.154733456889859
"87","20_P_F",508.913423312509,104868.709048935,1878.08367980144,96261.0138348345,0,0,97545.5012860133,301062.221272897,0,0.00792858397517191
"88","20_P_L",115501.875567307,76653.6137354136,6794.13220399561,212289.636956248,1785.1489419607,0,152254.088281912,565278.495686836,0,0.216346471172068
"89","20_P_M",38902.3060051339,32731.2697614019,22203.7399880614,35439.9600157933,0,0,454.911770172682,129732.187540563,0,0.471016847488904
"90","20_P_U",236355.572361251,171690.107687895,110568.368681435,323580.371246157,5304.52068110839,3826.49116356308,23808.8296458959,875134.261467306,0.00437246184048073,0.396423676135147
"91","21_N_F",0,16526.0467330414,0,1636.76079405972,726.270540253563,0,4457.97337731174,23347.0514446664,0,0
"92","21_N_L",1080061.23704712,1402370.02417115,482658.324478662,381429.884160413,16370.4203697899,2052.96466251956,32085.0263427076,3397027.88123237,0.000604341422648196,0.460025532954667
"93","21_N_M",150212.629375888,94779.2862765491,194612.238876357,36232.4075618096,211.931514767804,0,3121.2153805936,479169.708985965,0,0.719629938591016
"94","21_N_U",2723506.67267967,2231484.78385234,1789786.94933659,392104.585798058,30835.2804729567,0,48486.1178860658,7216204.39002568,0,0.62543871792969
"95","21_P_F",0,0,0,0,2804.51661193631,0,0,2804.51661193631,0,0
"96","21_P_L",98288.8361181449,227409.815870381,67913.2594130417,130429.572544228,19161.8762938037,0,56299.5917395886,599502.951979188,0,0.277233156204636
"97","21_P_M",2466.48414335602,0,1969.04568659985,0,0,0,0,4435.52982995588,0,1
"98","21_P_U",36161.6956591994,36042.7195015093,13493.2568882906,5294.44693238166,304.578090841639,0,23722.5513490381,115019.248421261,0,0.431709937502179
"99","22_N_L",0,35406.7312529329,0,268434.257972612,169.384789991725,0,17383.440287288,321393.814302824,0,0
