"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","EPL18","EPL24","RLE_EPL24"
"174","3_N_U","Upper foothill","LC","LC","LC","LC","WP","WP","LC_WP"
"175","3_P_F","Lowland river","LC","EN","EN","EN","MP","MP","EN_MP"
"176","3_P_L","Lower foothill","LC","LC","LC","LC","WP","MP","LC_MP"
"177","3_P_M","Mountain stream","LC","LC","LC","LC","MP","MP","LC_MP"
"178","3_P_U","Upper foothill","LC","LC","LC","LC","MP","PP","LC_PP"
"179","4_N_L","Lower foothill","EN","EN","CR","CR","PP","NP","EN_NP"
"180","4_N_M","Mountain stream","EN","LC","CR","CR","PP","PP","LC_PP"
"181","4_N_U","Upper foothill","VU","EN","CR","CR","NP","NP","EN_NP"
"182","4_P_F","Lowland river","LC","VU","EN","CR","NP","NP","VU_NP"
"183","4_P_L","Lower foothill","VU","EN","CR","CR","PP","PP","EN_PP"
"184","4_P_M","Mountain stream","VU","LC","CR","CR","PP","PP","LC_PP"
"185","4_P_U","Upper foothill","VU","LC","CR","EN","PP","PP","LC_PP"
"186","5_N_L","Lower foothill","EN","EN","EN","LC","NP","NP","EN_NP"
"187","5_N_M","Mountain stream","EN","EN","CR","CR","NP","NP","EN_NP"
"188","5_N_U","Upper foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"189","5_P_L","Lower foothill","VU","EN","CR","CR","PP","NP","EN_NP"
"190","5_P_M","Mountain stream","CR","EN","CR","CR","NP","NP","EN_NP"
"191","5_P_U","Upper foothill","EN","EN","CR","CR","NP","NP","EN_NP"
"192","6_N_L","Lower foothill","EN","VU","CR","CR","PP","PP","VU_PP"
"193","6_N_M","Mountain stream","EN","EN","EN","EN","MP","MP","EN_MP"
"194","6_N_U","Upper foothill","EN","EN","EN","EN","PP","PP","EN_PP"
"195","6_P_F","Lowland river","VU","VU","CR","CR","MP","MP","VU_MP"
"196","6_P_L","Lower foothill","EN","EN","EN","EN","PP","MP","EN_MP"
"197","6_P_M","Mountain stream","EN","LC","EN","CR","PP","PP","LC_PP"
"198","6_P_U","Upper foothill","EN","LC","LC","EN","PP","PP","LC_PP"
"199","7_N_F","Lowland river","CR","LC","LC","LC","NP","NP","LC_NP"
"200","7_N_L","Lower foothill","VU","VU","EN","CR","PP","PP","VU_PP"
"201","7_N_M","Mountain stream","VU","VU","LC","LC","MP","MP","VU_MP"
"202","7_N_U","Upper foothill","VU","LC","EN","EN","PP","PP","LC_PP"
"203","7_P_F","Lowland river","EN","EN","CR","CR","MP","MP","EN_MP"
"204","7_P_L","Lower foothill","VU","EN","CR","CR","NP","PP","EN_PP"
"205","7_P_M","Mountain stream","VU","EN","CR","CR","PP","PP","EN_PP"
"206","7_P_U","Upper foothill","VU","EN","CR","CR","PP","PP","EN_PP"
"207","8_N_F","Lowland river","CR","EN","CR","CR","NP","NP","EN_NP"
"208","8_N_L","Lower foothill","VU","EN","CR","CR","PP","NP","EN_NP"
"209","8_N_M","Mountain stream","VU","EN","EN","CR","MP","PP","EN_PP"
"210","8_N_U","Upper foothill","VU","LC","EN","CR","PP","PP","LC_PP"
"211","8_P_F","Lowland river","VU","EN","CR","CR","PP","PP","EN_PP"
"212","8_P_L","Lower foothill","VU","EN","CR","CR","PP","PP","EN_PP"
"213","8_P_M","Mountain stream","VU","EN","CR","CR","MP","PP","EN_PP"
"214","8_P_U","Upper foothill","VU","EN","CR","CR","NP","NP","EN_NP"
"215","9_N_F","Lowland river","CR","CR","CR","CR","PP","NP","CR_NP"
"216","9_N_L","Lower foothill","EN","EN","CR","CR","PP","PP","EN_PP"
"217","9_N_M","Mountain stream","VU","LC","LC","LC","PP","PP","LC_PP"
"218","9_N_U","Upper foothill","VU","EN","EN","EN","PP","PP","EN_PP"
"219","9_P_F","Lowland river","CR","EN","CR","CR","NP","NP","EN_NP"
"220","9_P_L","Lower foothill","VU","EN","EN","EN","PP","PP","EN_PP"
"221","9_P_M","Mountain stream","VU","LC","EN","EN","MP","PP","LC_PP"
"222","9_P_U","Upper foothill","VU","LC","CR","CR","PP","PP","LC_PP"
