"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","extent","EPL18","EPL24","RLE_EPL24"
"117","24_N_U","Upper foothill","EN","VU","CR","CR",429145.990998568,"NP","NP","VU_NP"
"118","24_P_F","Lowland river","VU","VU","CR","CR",318181.461051723,"NP","PP","VU_PP"
"119","24_P_L","Lower foothill","EN","EN","CR","CR",558368.061846397,"NP","NP","EN_NP"
"120","24_P_M","Mountain stream","CR","CR","EN","EN",78796.0997761272,"MP","MP","CR_MP"
"121","24_P_U","Upper foothill","CR","CR","CR","CR",399693.706165979,"PP","PP","CR_PP"
"122","25_N_F","Lowland river","CR","CR","LC","LC",24080.4290621342,"MP","MP","CR_MP"
"123","25_N_L","Lower foothill","LC","LC","LC","LC",877247.797191655,"MP","MP","LC_MP"
"124","25_N_M","Mountain stream","LC","LC","LC","EN",50628.4512629629,"PP","PP","LC_PP"
"125","25_N_U","Upper foothill","VU","VU","LC","LC",1081703.87133429,"PP","PP","VU_PP"
"126","25_P_F","Lowland river","CR","CR","CR","CR",237488.445677664,"NP","NP","CR_NP"
"127","25_P_L","Lower foothill","LC","LC","LC","LC",192897.690520194,"PP","PP","LC_PP"
"128","26_N_F","Lowland river","LC","LC","EN","EN",869895.079598495,"NP","PP","LC_PP"
"129","26_N_L","Lower foothill","LC","LC","CR","CR",11599133.4528958,"NP","NP","LC_NP"
"130","26_N_M","Mountain stream","EN","EN","EN","EN",173056.85029569,"PP","PP","EN_PP"
"131","26_N_U","Upper foothill","LC","LC","CR","CR",9146133.04316664,"NP","PP","LC_PP"
"132","26_P_F","Lowland river","CR","CR","CR","CR",3206359.02265253,"PP","PP","CR_PP"
"133","26_P_L","Lower foothill","LC","LC","EN","EN",2305603.59146371,"NP","NP","LC_NP"
"134","26_P_M","Mountain stream","CR","CR","CR","CR",4257.1826443,"MP","MP","CR_MP"
"135","26_P_U","Upper foothill","CR","CR","CR","CR",237470.081996084,"NP","NP","CR_NP"
"136","27_N_F","Lowland river","LC","LC","LC","LC",5353.95765777203,"NP","NP","LC_NP"
"137","27_N_L","Lower foothill","VU","VU","LC","LC",870951.715431405,"PP","PP","VU_PP"
"138","27_N_M","Mountain stream","EN","EN","EN","EN",211672.424596578,"MP","MP","EN_MP"
"139","27_N_U","Upper foothill","VU","VU","LC","LC",2133167.27360999,"PP","PP","VU_PP"
"140","28_N_L","Lower foothill","CR","CR","LC","LC",159372.010129881,"PP","PP","CR_PP"
"141","28_N_M","Mountain stream","CR","CR","CR","CR",64898.782534148,"WP","WP","CR_WP"
"142","28_N_U","Upper foothill","CR","CR","EN","CR",946795.659824584,"MP","MP","CR_MP"
"143","28_P_F","Lowland river","CR","CR","LC","CR",784678.558700798,"PP","PP","CR_PP"
"144","28_P_L","Lower foothill","CR","CR","LC","CR",158257.970206326,"PP","PP","CR_PP"
"145","28_P_U","Upper foothill","CR","CR","LC","CR",15878.5866131161,"WP","MP","CR_MP"
"146","29_N_F","Lowland river","LC","LC","CR","EN",3191761.21040636,"PP","PP","LC_PP"
"147","29_N_L","Lower foothill","LC","LC","CR","CR",3361978.42904664,"NP","NP","LC_NP"
"148","29_N_M","Mountain stream","CR","CR","CR","CR",11273.591651484,"NP","NP","CR_NP"
"149","29_N_U","Upper foothill","VU","VU","CR","CR",1352032.61500122,"NP","NP","VU_NP"
"150","29_P_F","Lowland river","EN","EN","CR","CR",1043967.77291155,"PP","PP","EN_PP"
"151","29_P_L","Lower foothill","VU","LC","CR","CR",330557.259723932,"NP","NP","LC_NP"
"152","29_P_U","Upper foothill","EN","EN","CR","CR",31860.3237654752,"NP","NP","EN_NP"
"153","2_N_F","Lowland river","EN","VU","CR","CR",5395.68780990724,"NP","NP","VU_NP"
"154","2_N_L","Lower foothill","CR","CR","LC","EN",84451.6502543459,"MP","MP","CR_MP"
"155","2_N_M","Mountain stream","LC","LC","EN","EN",43226.564445634,"PP","PP","LC_PP"
"156","2_N_U","Upper foothill","LC","LC","CR","CR",197960.565578426,"PP","PP","LC_PP"
"157","2_P_F","Lowland river","VU","VU","CR","CR",17424.5815589849,"MP","MP","VU_MP"
"158","2_P_L","Lower foothill","EN","EN","CR","CR",360712.91134815,"PP","PP","EN_PP"
"159","2_P_M","Mountain stream","VU","VU","CR","CR",12072.0462461128,"PP","PP","VU_PP"
"160","2_P_U","Upper foothill","VU","VU","CR","CR",123258.548301563,"PP","PP","VU_PP"
"161","30_N_F","Lowland river","CR","VU","CR","VU",40582.8005895432,"NP","NP","VU_NP"
"162","30_N_L","Lower foothill","LC","LC","LC","LC",1002393.18256512,"NP","NP","LC_NP"
"163","30_N_M","Mountain stream","LC","LC","EN","LC",4826.033627847,"NP","NP","LC_NP"
"164","30_N_U","Upper foothill","LC","LC","LC","LC",670554.257352797,"NP","NP","LC_NP"
"165","31_N_M","Mountain stream","LC","LC","LC","LC",3422.74756532744,"NP","NP","LC_NP"
"166","31_N_U","Upper foothill","LC","LC","EN","EN",38199.8891755917,"NP","NP","LC_NP"
"167","31_P_F","Lowland river","CR","CR","EN","CR",132813.30282139,"PP","NP","CR_NP"
"168","31_P_L","Lower foothill","LC","LC","LC","LC",1695599.943814,"PP","PP","LC_PP"
"169","31_P_M","Mountain stream","VU","VU","LC","LC",56075.5865055841,"NP","NP","VU_NP"
"170","31_P_U","Upper foothill","VU","VU","LC","LC",1884051.06934203,"NP","NP","VU_NP"
"171","3_N_F","Lowland river","VU","LC","CR","EN",38009.8743979168,"PP","WP","LC_WP"
"172","3_N_L","Lower foothill","LC","LC","LC","LC",1773870.76715417,"WP","WP","LC_WP"
"173","3_N_M","Mountain stream","LC","LC","LC","LC",92412.2508840354,"MP","MP","LC_MP"
"174","3_N_U","Upper foothill","LC","LC","LC","LC",1300906.28764871,"WP","WP","LC_WP"
